"p","r_quantile"
-1,-1
-0.999,-0.993866343660179
-0.998,-0.987104921370671
-0.997,-0.98002410999448
-0.996,-0.975069093379612
-0.995,-0.967725178857732
-0.994,-0.963112970997256
-0.993,-0.957181511772082
-0.992,-0.946237079913218
-0.991,-0.941692940291587
-0.99,-0.930807638272385
-0.989,-0.929055019792794
-0.988,-0.922443535858184
-0.987,-0.918508593333907
-0.986,-0.910924621569557
-0.985,-0.904147812687852
-0.984,-0.901738853972096
-0.983,-0.895717249014104
-0.982,-0.885649302716689
-0.981,-0.884971317882802
-0.98,-0.871545238688698
-0.979,-0.861527100357395
-0.978,-0.858431350821561
-0.977,-0.852409128375299
-0.976,-0.855912305662834
-0.975,-0.845159116046227
-0.974,-0.831407804853053
-0.973,-0.828502390047189
-0.972,-0.82915169500975
-0.971,-0.818527422758743
-0.97,-0.809874358809792
-0.969,-0.809649012281947
-0.968,-0.789298001653312
-0.967,-0.789596339550246
-0.966,-0.79455815512728
-0.965,-0.787432633488121
-0.964,-0.779796908939005
-0.963,-0.776167738538701
-0.962,-0.769039250013628
-0.961,-0.751231159848763
-0.96,-0.75433872455306
-0.959,-0.75343553350133
-0.958,-0.744562300511091
-0.957,-0.728237162905567
-0.956,-0.726545209125721
-0.955,-0.724071014698488
-0.954,-0.709253699599381
-0.953,-0.724141258618927
-0.952,-0.700039608604232
-0.951,-0.704618450478833
-0.95,-0.692136386401867
-0.949,-0.687541089094017
-0.948,-0.681085167451415
-0.947,-0.667622552466352
-0.946,-0.671934197819937
-0.945,-0.666931319152654
-0.944,-0.636199106697658
-0.943,-0.644314681122207
-0.942,-0.642798653331102
-0.941,-0.629122391651072
-0.94,-0.627216738287116
-0.939,-0.64382251560118
-0.938,-0.632914360348469
-0.937,-0.616825689459293
-0.936,-0.589493393596635
-0.935,-0.61928168876183
-0.934,-0.594145985067626
-0.933,-0.601688058017656
-0.932,-0.572204617762478
-0.931,-0.585182625710273
-0.93,-0.557739122002568
-0.929,-0.540061389762333
-0.928,-0.54268474966666
-0.927,-0.574690398058361
-0.926,-0.555622109573334
-0.925,-0.541631336067902
-0.924,-0.531373677752591
-0.923,-0.539637593086039
-0.922,-0.551165742507328
-0.921,-0.523713064284173
-0.92,-0.506406504519007
-0.919,-0.532281588680652
-0.918,-0.48426686762499
-0.917,-0.516218154418287
-0.916,-0.486163321147039
-0.915,-0.498390204083062
-0.914,-0.489101965633927
-0.913,-0.469654062163331
-0.912,-0.486177586489006
-0.911,-0.453973559816193
-0.91,-0.457736131693664
-0.909,-0.478304897109276
-0.908,-0.468877988605628
-0.907,-0.451562137087782
-0.906,-0.45926013841718
-0.905,-0.434285638506744
-0.904,-0.451749077680089
-0.903,-0.427353840565802
-0.902,-0.392555422366794
-0.901,-0.414127790703871
-0.9,-0.398716143888821
-0.899,-0.43350717406925
-0.898,-0.413117791202768
-0.897,-0.38907539838255
-0.896,-0.383229175371873
-0.895,-0.391626366598193
-0.894,-0.392965755403779
-0.893,-0.352771824656702
-0.892,-0.391203540982883
-0.891,-0.370476318833495
-0.89,-0.365313172742149
-0.889,-0.340303406047165
-0.888,-0.362533768516686
-0.887,-0.377661744852816
-0.886,-0.346010513470916
-0.885,-0.325732719905615
-0.884,-0.306996297631944
-0.883,-0.338224942625385
-0.882,-0.323234916756801
-0.881,-0.32106159854873
-0.88,-0.314545861634792
-0.879,-0.30201780968857
